,M,L,P,R,T,rho,epsilon,kappa,del_ad,del_rad,del_actual,convective,radiative
295,5.879308617234469e+32,1.5629214312934603e+33,3.5123702823257868e+16,14765312245.889442,8659192.791465936,30.227774272207764,0.6866985368080547,3.62779427617174,0.39951686353957344,0.23762628885204554,0.23762628885204554,0,1
296,5.899238476953908e+32,1.5642856838713093e+33,3.4992955017410076e+16,14789347212.51562,8650472.046399042,30.145615095136026,0.6814943768077373,3.61583781772216,0.39951700858972833,0.23632014177999774,0.23632014177999774,0,1
297,5.919168336673347e+32,1.565639436376185e+33,3.486262466432023e+16,14813374912.024124,8641762.546252158,30.0636109003104,0.6763277796365966,3.603950639311877,0.3995171520907404,0.2350233150559981,0.2350233150559981,0,1
298,5.939098196392786e+32,1.5669827445486856e+33,3.4732711182539532e+16,14837395689.343443,8633064.356448758,29.981761748415106,0.6711985226435286,3.592133062360547,0.39951729403206127,0.23373577148439456,0.23373577148439456,0,1
299,5.959028056112225e+32,1.5683156630817653e+33,3.4603214027603532e+16,14861409887.477957,8624377.544684224,29.900067725727634,0.6661063854234048,3.5803853732207354,0.3995174344031582,0.23245747182296234,0.23245747182296234,0,1
300,5.978957915831664e+32,1.56963824951856e+33,3.447413248787919e+16,14885417812.59229,8615702.1493257,29.81852887723151,0.6610511366222656,3.5687078239980523,0.39951757319772646,0.23118837745785828,0.23118837745785828,0,1
301,5.998887775551103e+32,1.570950813141906e+33,3.4345452603261864e+16,14909417477.25182,8607036.157067345,29.73714087275356,0.656031696232061,3.5571006333586426,0.39951771068259895,0.22992861535246098,0.22992861535246098,0,1
302,6.0188176352705415e+32,1.5722535670603974e+33,3.4217165296752264e+16,14933407664.391209,8598378.315644367,29.655900892031845,0.651047316702748,3.545563987323647,0.3995178470217236,0.22867824420656369,0.22867824420656369,0,1
303,6.03874749498998e+32,1.5735465721830063e+33,3.40892694261025e+16,14957388502.379229,8589728.60167403,29.57480870388958,0.6460977664427591,3.5340980400508735,0.39951798221501233,0.22743721926016514,0.22743721926016514,0,1
304,6.058677354709419e+32,1.5748298891799265e+33,3.3961763851289936e+16,14981360120.065687,8581086.991570106,29.493864077122826,0.6411828152613128,3.5227029146033155,0.3995181162623915,0.22620549410724192,0.22620549410724192,0,1
